Id,CourseName,CourseDepartment,CourseNumber,CRN,Term,Year,Enrolled,Cap,Periods,FinalSchedule,Instructor,Credits,Section
15987,GRAD507,GRAD,507,2524,20,2014,14,40,TBA/TBA/TBA,,siahmako,1,0
15988,GRAD506,GRAD,506,2523,20,2014,57,40,TBA/TBA/TBA,,siahmako,1,0
15989,GE212,GE,212,2315,20,2014,15,22,MTRF/6/A220,,heeter,4,1
15990,GS163,GS,163,2255,20,2014,26,25,MTRF/4/M107,T at 8am in TBA,casey1,4,1
15991,GS291,GS,291,2259,20,2014,26,25,MTRF/7/A202,,kukral,4,1
15992,GS223,GS,223,2257,20,2014,21,25,MTRF/8/B106,M at 8am in TBA,martland,4,2
15993,GS237,GS,237,2258,20,2014,25,25,MR/2-3/B106,,carlsonp,4,1
15994,GS351,GS,351,2260,20,2014,17,25,MTRF/1/O231,,kim1,4,1
15995,GS223,GS,223,2256,20,2014,22,25,MTRF/7/B106,M at 8am in TBA,martland,4,1
15996,GRAD508,GRAD,508,2525,20,2014,0,40,TBA/TBA/TBA,,siahmako,6,0
15997,GS351,GS,351,2261,20,2014,15,25,MTRF/2/O231,,kim1,4,2
15998,GS399,GS,399,2265,20,2014,25,25,MTRF/7/O201,W at 1pm in TBA,findley1,4,2
15999,GS384,GS,384,2263,20,2014,25,25,MTRF/2/A202,,clark,4,2
16000,GS399,GS,399,2264,20,2014,17,25,MTR/8/O201:W/7-9/O201,,livingst,4,1
16001,GS384,GS,384,2262,20,2014,25,25,MTRF/1/A202,,clark,4,1
16002,GS412,GS,412,2267,20,2014,2,25,MTRF/4/A220,,heeter,4,2
16003,GS412,GS,412,2266,20,2014,2,25,MTRF/3/A220,,heeter,4,1
16004,GS469,GS,469,2268,20,2014,26,25,MR/3-4/O231,,dyer1,4,1
16005,IA142,IA,142,2271,20,2014,21,20,TF/7-8/O105,,letsinge,4,2
16006,IA333,IA,333,2275,20,2014,23,25,MTRF/4/O201,,taylor13,4,2
16007,GS469,GS,469,2269,20,2014,21,25,TF/3-4/O231,,dyer1,4,2
16008,IA237,IA,237,2421,20,2014,24,25,MTRF/7/O101,,carvill,4,1
16009,IA233,IA,233,2272,20,2014,13,25,MR/8-9/A202,,minster,4,1
16010,IA142,IA,142,2270,20,2014,19,20,MR/7-8/O105,,letsinge,4,1
16011,IA333,IA,333,2274,20,2014,26,25,MTRF/3/O201,,taylor13,4,1
16012,IA240,IA,240,2273,20,2014,25,25,MTRF/9/B106,,house,4,1
16013,IA338,IA,338,2616,20,2014,15,25,MR/5-6/A202,,watt,4,1
16014,IA399,IA,399,2281,20,2014,25,25,MTRF/4/B106,,jern,4,3
16015,IA348,IA,348,2277,20,2014,0,0,TBA/TBA/TBA,,chapman1,1,1
16016,IA399,IA,399,2280,20,2014,0,0,TBA,,tba,4,2
16017,IA351,IA,351,2278,20,2014,23,25,MTRF/6/O231,M at 8am in TBA,kim1,4,1
16018,IA399,IA,399,2279,20,2014,24,25,TF/5-6/A202,,hartner,4,1
16019,IA399,IA,399,2282,20,2014,24,25,MTRF/5/B106,,jern,4,4
16020,IA346,IA,346,2276,20,2014,11,25,MTRF/6/HH163,,chapman1,4,1
